Re,Magnet Center Distance,Amplitude,Outlet Type,Magnet Shape,Efficiency
0.03,1550,10,Type B,Square Rotated 45,84.6525
0.08,1200,9,Type A,Square Rotated 45,58.165
0.02,1725,7,Type A,Circular,96.39500000000001
0.028,1300,8,Type A,Square Rotated 45,66.8375
0.02,1575,4,Type B,Square,87.5
0.015,1500,7,Type A,Circular,84.73
0.03,1550,7,Type B,Square,89.445
0.005,1300,7,Type B,Square Rotated 45,46.72
0.012,1200,7,Type A,Square Rotated 45,59.22
0.01,1300,8,Type B,Triangular,54.015
0.0225,1750,6,Type B,Square Rotated 45,95.3925
